-4000	-1136	-855	663	2581	938	-2289	554
-4000	-867	-629	561	2642	766	-2821	568
-4000	-692	18	688	2516	795	-3171	621
-4000	-584	742	818	2569	1071	-2939	646
-3480	-743	1228	691	3102	1051	-2312	646
-1886	-871	1582	459	3725	961	-1377	707
-36	-882	2054	590	3839	1004	-1255	747
2052	-846	2130	728	3810	1205	-1030	760
2987	-793	1257	980	3837	1118	-680	751
1372	-715	9	821	3753	932	-879	751
-241	-492	-308	337	3410	966	-912	760
1020	-176	-702	22	2895	1068	-792	751
1888	40	-2306	-219	2060	1344	-506	788
2391	130	-4000	-297	1482	1567	-580	813
3261	392	-4000	-654	1466	1338	-549	783
3495	746	-3913	-1174	1598	1075	-73	812
4000	939	-2992	-1435	2759	860	506	882
4000	985	-1028	-1349	3851	888	1255	921
4000	1032	322	-831	4000	947	1679	906
4000	868	1161	-388	4000	713	1760	864
4000	803	3202	-291	4000	719	1711	798
2457	794	4000	-241	4000	693	1605	684
603	420	4000	-262	3998	506	1788	604
-124	402	4000	-167	3937	-3	2189	554
-1170	607	4000	60	3809	-907	2972	499
-2030	737	4000	417	3672	-1460	3205	434
-2342	898	3007	669	3688	-1282	2635	373
-2130	1071	299	850	3213	-662	2126	304
-2072	1062	-1461	952	2255	-439	1008	224
-2468	477	-1948	915	1604	-304	-217	172
-2932	44	-2786	884	1344	-337	-908	126
-3180	-338	-3142	655	1308	-737	-701	94
-3300	-887	-3341	590	847	-923	-24	29
-3897	-1668	-1847	508	-364	-466	-69	-79
-4000	-2330	-881	276	-1577	404	134	-91
-3530	-1729	-1518	-67	-2740	913	608	-80
-2488	-692	-121	-316	-4000	1506	1027	-122
-1105	-94	262	-418	-4000	1539	1588	-170
-1096	174	-906	-525	-4000	1065	1569	-236
-2737	-30	-1321	-312	-4000	693	1084	-341
-2741	-227	-1760	-188	-4000	466	600	-427
-1455	-330	-1526	-179	-4000	611	790	-415
-844	-357	-1006	-319	-4000	823	1538	-395
161	-171	-491	-558	-3445	1098	1613	-419
1098	13	1249	-515	-3327	1126	1605	-461
1539	206	3173	-754	-3718	996	1723	-447
3171	263	3434	-1152	-3972	651	1591	-435
4000	355	2729	-1151	-4000	547	1705	-466
4000	309	1566	-766	-4000	510	1964	-472
4000	290	22	-178	-3573	-43	2229	-537
4000	487	-2224	-166	-2668	-522	2297	-602
4000	652	-3861	-149	-3065	-920	2118	-625
920	1006	-3632	-2	-4000	-955	2061	-687
-1668	1170	-1907	-75	-4000	-751	2061	-781
-2647	969	714	209	-4000	-399	1866	-883
-2908	420	2486	218	-4000	-19	1441	-973
-2061	-68	4000	142	-4000	107	514	-1000
-1105	-147	4000	234	-4000	-26	-101	-953
-559	-92	4000	402	-4000	-373	678	-781
-461	-30	4000	502	-3107	-485	1760	-622
-979	-148	2347	386	-2252	-434	2444	-561
-2195	-320	318	362	-2875	-499	2361	-549
-3300	-444	-1872	328	-3113	-656	2058	-648
-2879	-492	-3807	320	-4000	-650	1864	-687
-1556	-505	-4000	337	-4000	-358	1801	-685
-779	-471	-4000	307	-4000	17	2256	-687
269	-375	-4000	85	-4000	276	2711	-622
587	-401	-2967	-277	-2098	172	2777	-584
986	-223	-2708	-536	2170	-197	2749	-571
1767	-46	-2346	-532	2557	-460	2961	-524
1629	-21	-121	-373	1279	-867	2941	-513
1507	12	1306	-365	-1137	-792	2317	-478
605	130	1639	-255	-3524	-202	1265	-415
-461	316	2160	-44	-3773	410	-142	-386
-1390	290	2486	104	-3445	988	-3171	-301
-2370	168	2669	292	-1980	1138	-4000	-215
-2737	10	2811	323	966	1344	-4000	-120
-2541	-194	2940	307	2296	1018	-2288	-74
-2336	-301	2266	394	1789	142	-306	-150
-2961	-340	1302	423	1319	-812	-130	-128
-1402	-357	476	238	412	-1780	17	-13
1677	-416	-207	48	182	-2575	131	69
3322	-401	-382	-279	1328	-3470	-420	112
4000	-373	-906	-654	2698	-4000	-672	160
4000	-480	-1427	-776	2960	-4000	-1266	272
4000	-383	-1685	-701	2906	-4000	-1136	416
3521	-151	-1797	-458	3331	-3848	-459	499
-474	-53	-1813	-364	3851	-3163	75	551
-4000	106	-1619	-146	3837	-2640	216	604
-4000	347	-1166	101	3792	-2311	3	609
-4000	620	-829	177	3798	-1550	-363	652
-3307	672	-374	246	3349	-615	-839	701
85	449	-220	316	2971	-320	-745	738
2211	264	-324	394	2801	-520	87	788
3981	131	-300	276	2711	-822	1579	837
4000	113	-635	51	2776	-485	2256	938
4000	-68	-1166	-210	2759	-9	1866	1026
3117	-379	-1872	-559	2182	628	962	1077
1181	-421	-1491	-603	1423	1571	-941	1138
256	-280	723	-287	2163	2353	-2756	1187
-227	-9	2783	-425	4000	2633	-2963	1216
-759	258	4000	-805	3985	2421	-2577	1205
-1194	347	4000	-466	1568	2060	-2112	1207
-2061	298	2864	21	-619	1704	-993	1185
-1626	233	280	209	-2574	1458	-460	1142
-612	131	-1085	400	-4000	1449	-272	1085
-477	28	-2607	502	-4000	1506	168	994
329	-62	-3242	406	-4000	1157	4	935
712	-159	-2643	192	-2805	795	-420	813
952	-140	-2325	-46	-160	1018	-355	723
1051	-103	-1758	-229	2320	1649	-7	656
275	-171	-1166	-433	4000	2515	359	572
-376	-197	-537	-336	4000	3475	415	491
-974	-47	-668	45	4000	4000	48	377
-917	-47	-491	356	2516	4000	-87	290
-830	-49	337	402	638	4000	-167	174
-846	82	2356	221	-3065	4000	-55	76
-911	99	4000	6	-4000	4000	114	-30
-1016	23	4000	-177	-4000	4000	54	-78
-843	-19	4000	-69	-3785	4000	72	-105
-598	-19	2086	63	-1495	4000	-47	-190
-107	46	-1191	15	28	4000	-399	-217
603	132	-4000	4	558	441	-782	-251
1504	44	-4000	-51	253	-4000	-1136	-271
1832	28	-4000	-76	-608	-4000	-1197	-292
1104	37	-3563	43	-620	-4000	-258	-297
135	79	-1577	38	-1077	-4000	1063	-297
-874	109	92	-81	-1267	-4000	1965	-282
-865	63	-393	-31	-1398	-4000	1858	-287
-255	38	-1644	244	-1646	-3643	535	-262
-298	-46	-2436	459	-1077	-312	-780	-201
-3	-72	-2670	669	-679	831	-1494	-189
34	-102	-2057	822	110	311	-580	-188
973	-29	-1671	663	754	-1107	682	-252
2983	56	-931	590	1669	-2937	1223	-319
2938	16	-330	600	2622	-3974	1734	-316
1376	95	736	598	2906	-3912	1139	-280
-226	154	1770	586	2645	-3079	380	-260
-1829	98	2095	590	2085	-1975	227	-248
-2541	43	2017	583	701	-171	-318	-192
-2727	1	1835	655	-1528	1864	-497	-160
-2517	46	1613	793	-2016	4000	-92	-198
-1585	141	1314	634	-664	4000	-363	-151
-1141	159	1347	577	2711	4000	-1051	-144
-1147	140	1119	524	4000	4000	-1397	-168
-566	103	1375	111	4000	4000	-2483	-155
-182	54	1639	-376	4000	4000	-3342	-158
192	-10	2136	-1423	4000	4000	-3312	-154
957	35	2864	-2639	4000	4000	-3192	-190
1806	40	2729	-2680	4000	4000	-2728	-170
2987	-15	1952	-1874	4000	4000	-1979	-203
3578	-96	1096	-1223	3998	4000	-1332	-205
3004	-214	923	-1024	3660	4000	-2251	-187
2211	-110	720	-562	3493	4000	-2899	-156
1545	82	528	-114	4000	4000	-1996	-105
790	159	260	223	4000	4000	-1095	-70
399	33	-68	649	4000	4000	-685	19
-779	-162	-717	962	4000	2821	-460	54
-1733	-160	-1980	1275	4000	1580	244	100
-2049	75	-2281	1285	4000	-1093	767	157
-2256	99	-1872	1093	4000	-4000	1052	213
-2582	-72	-1406	600	4000	-4000	1092	292
-3022	-48	-1028	272	4000	-4000	824	361
-2129	-66	-287	81	4000	-4000	64	434
-1324	-94	652	-132	4000	-4000	-135	491
-706	-29	1119	27	4000	-4000	309	579
-181	-91	1041	116	2622	-4000	663	632
640	-188	714	175	1313	-4000	283	739
1281	-310	651	18	831	-4000	-174	850
1098	-294	280	-233	-1491	-4000	-327	960
954	-91	-102	-78	-3131	-4000	-917	1065
577	15	-171	-15	-2757	-4000	-832	1091
640	-37	123	-63	-3791	-3730	-258	1199
521	-118	462	-84	-4000	-1005	93	1236
322	5	677	-81	-4000	1098	188	1264
416	87	1249	124	-4000	2775	433	1307
436	63	1433	156	-4000	3943	348	1338
428	-5	956	18	-4000	4000	227	1329
361	-62	-22	-48	-4000	4000	329	1270
416	-66	-1338	-85	-4000	4000	573	1207
693	-67	-2599	-174	-4000	3980	744	1091
1170	-49	-3083	-323	-4000	3083	593	978
1222	-167	-2489	-430	-4000	1598	818	864
827	-179	-2072	-509	-3706	-413	1092	747
583	-19	-1427	-523	-4000	-2366	1453	656
240	24	-580	-762	-4000	-2963	1345	521
-605	-18	-198	-1223	-4000	-1615	1149	408
-1084	63	698	-1411	-4000	1277	795	290
-1084	20	1900	-1049	-4000	4000	282	147
-1066	-87	2718	-359	-3533	4000	-22	-33
-1170	139	2454	81	-3408	4000	-334	-305
-956	282	2289	129	-2484	4000	-485	-597
301	34	1873	-82	-1590	3939	-699	-953
1299	-220	671	-210	-2537	2047	-631	-1383
920	-113	-147	27	-2077	1704	-420	-1824
389	58	-1338	146	-746	2633	278	-2230
-136	152	-2438	236	2491	2385	384	-2556
-719	159	-3176	314	3037	2115	195	-2746
-570	87	-3307	272	2581	1899	248	-2869
-1066	113	-3355	-145	1091	746	-10	-2905
-1129	28	-3070	-914	-2194	-232	294	-2862
-820	-50	-2819	-914	-4000	-617	834	-2746
-873	-53	-2710	-558	-4000	274	1605	-2649
-474	27	-2216	-484	-4000	938	2364	-2584
-437	93	-1362	-192	-4000	1344	2377	-2515
