-47	-102	197	-55	9	-2	14	2
-43	-96	103	-62	5	0	12	-5
-42	-58	47	-60	2	8	9	-8
-45	-38	145	-41	-3	13	9	-17
-39	-39	157	-37	-6	11	8	-22
-37	-27	-3	-41	-7	5	8	-15
-39	8	-299	-42	-9	-1	7	-13
-41	45	-425	-51	-9	6	10	-10
-60	55	-280	-57	-6	10	9	-1
-85	36	-87	-64	0	4	10	9
-101	-10	-70	-53	2	-2	12	11
-93	-50	-42	-36	2	-8	10	11
-104	-52	26	-16	5	-1	14	12
-92	-7	-36	12	-1	-5	13	6
-77	21	-49	7	4	-20	16	15
-114	14	-168	-12	22	-18	17	36
-183	-2	-152	-30	43	-10	17	51
-250	-20	35	-44	55	-8	21	61
-273	-27	229	-41	59	-8	22	62
-283	-28	386	-44	60	-15	22	59
-297	-39	396	-46	59	-8	24	67
-323	-84	262	-59	61	-6	28	77
-352	-129	59	-70	55	-2	27	79
-356	-136	82	-70	49	15	26	78
-331	-103	212	-64	41	21	26	68
-272	-59	288	-52	32	24	22	56
-211	-24	260	-44	29	27	21	48
-171	-11	154	-39	23	30	22	38
-127	-4	99	-40	19	23	18	25
-65	5	60	-34	15	12	17	14
-8	8	38	-38	11	7	16	5
50	21	27	-37	9	6	14	-5
95	30	3	-30	7	9	13	-10
143	38	-70	-19	3	15	12	-24
196	51	-142	-12	-6	24	12	-36
248	56	-127	-13	-15	30	13	-49
285	57	-93	-6	-28	31	14	-64
308	55	-124	-2	-40	29	12	-76
322	57	-190	3	-49	23	12	-85
325	58	-247	10	-64	22	13	-88
340	63	-247	18	-74	23	13	-93
334	66	-240	28	-83	25	15	-98
324	66	-241	41	-102	20	15	-108
342	77	-284	69	-140	11	15	-137
391	95	-340	84	-187	7	21	-165
428	111	-318	98	-237	-1	23	-202
472	136	-307	109	-291	-4	28	-247
508	152	-317	138	-348	-9	33	-291
530	168	-322	175	-403	-13	35	-338
550	189	-319	199	-453	-18	41	-384
559	200	-307	236	-498	-25	43	-427
561	214	-291	271	-535	-29	49	-461
530	217	-273	295	-548	-35	54	-474
475	217	-247	311	-544	-34	54	-480
412	209	-198	329	-528	-32	59	-490
342	189	-155	343	-488	-29	61	-480
230	152	-100	343	-421	-17	63	-469
84	105	-50	343	-329	-1	66	-461
-99	44	1	337	-204	20	76	-435
-323	-35	72	309	-33	47	82	-374
-564	-122	150	272	156	86	87	-331
-844	-222	233	272	358	128	100	-329
-1170	-324	321	272	570	165	106	-288
-1400	-398	381	231	717	180	100	-193
-1483	-437	414	182	843	189	95	-139
-1674	-505	476	197	1026	220	103	-146
-1931	-576	520	220	1178	240	103	-114
-2061	-627	541	242	1287	257	107	-105
-2256	-688	583	317	1453	285	110	-132
-2423	-752	618	402	1577	303	112	-138
-2230	-789	639	482	1647	306	113	-139
-2060	-814	648	569	1700	311	110	-134
-1894	-826	645	655	1669	311	101	-86
-1749	-765	592	604	1453	254	69	63
-1473	-618	490	419	1091	176	37	211
-1191	-488	413	329	904	136	21	272
-1026	-419	358	264	701	86	-2	375
-706	-275	258	42	375	15	-29	491
-331	-145	174	-107	162	-30	-47	556
-66	-39	97	-285	-86	-82	-69	654
277	83	15	-478	-295	-110	-84	697
507	160	-41	-579	-425	-125	-94	721
615	210	-75	-612	-484	-130	-94	695
608	223	-93	-619	-542	-141	-97	711
790	290	-147	-753	-717	-167	-110	747
986	342	-182	-784	-734	-167	-104	695
896	321	-175	-707	-666	-149	-94	634
798	307	-180	-654	-666	-138	-94	617
863	335	-205	-719	-746	-155	-96	629
1059	393	-247	-849	-877	-179	-106	678
1368	477	-305	-1038	-1040	-216	-120	737
1710	579	-369	-1244	-1239	-267	-138	825
2215	717	-452	-1537	-1441	-310	-155	882
2418	746	-473	-1500	-1267	-277	-138	768
2093	662	-423	-1333	-1031	-228	-121	676
1885	597	-385	-1196	-812	-184	-101	544
1441	461	-302	-894	-457	-102	-67	360
855	290	-212	-568	-122	-27	-33	178
298	128	-122	-206	199	36	-4	20
-197	-7	-52	70	367	81	17	-84
-527	-101	0	309	469	114	35	-180
-814	-182	42	496	462	118	42	-200
-779	-165	32	449	242	86	34	-139
-535	-97	7	349	64	63	28	-121
-451	-85	8	386	6	56	31	-121
-380	-63	2	337	-127	32	26	-88
-253	-27	-17	284	-217	22	24	-75
-200	-2	-33	185	-356	-4	15	-11
109	87	-73	-69	-551	-47	-2	60
397	152	-124	-231	-611	-69	-11	96
586	200	-172	-379	-665	-92	-22	165
914	290	-225	-659	-858	-146	-45	304
1441	442	-291	-1004	-1048	-206	-71	421
1885	550	-379	-1240	-1202	-260	-98	564
2418	733	-514	-1608	-1528	-340	-138	760
2471	918	-633	-1881	-1815	-419	-179	990
2276	1128	-776	-2118	-2016	-529	-235	1268
2088	1331	-931	-1960	-1848	-580	-268	1403
1922	1380	-943	-1785	-1654	-550	-274	1435
1767	1282	-831	-1655	-1451	-459	-249	1281
1629	1040	-641	-1341	-856	-326	-206	1087
1413	788	-468	-1040	-356	-204	-162	882
1015	517	-297	-755	151	-80	-107	658
538	261	-137	-498	576	20	-67	478
145	38	20	-274	947	113	-28	304
-278	-173	163	-82	1279	185	0	223
-649	-357	302	51	1584	250	28	153
-1060	-548	439	168	1864	301	49	110
-1365	-688	547	256	2036	331	69	59
-1660	-820	663	357	2190	358	87	20
-1931	-923	768	421	2296	376	101	14
-2208	-1019	891	504	2368	376	116	-23
-2435	-1072	971	603	2317	368	134	-116
-2577	-1082	1031	720	2162	349	156	-247
-2684	-1066	1062	836	1901	319	178	-402
-2659	-1003	1053	948	1533	279	200	-581
-2577	-914	1022	1045	1144	228	216	-738
-2448	-800	960	1119	727	168	236	-891
-2279	-688	899	1208	312	104	246	-1039
-2113	-561	834	1265	-121	33	259	-1179
-1955	-432	782	1319	-551	-45	272	-1316
-1756	-303	708	1371	-937	-123	279	-1428
-1476	-175	606	1428	-1202	-189	287	-1516
-1153	-58	497	1436	-1375	-239	288	-1540
-814	48	365	1424	-1378	-263	287	-1540
-500	132	233	1371	-1267	-261	280	-1506
-193	183	104	1306	-1107	-228	264	-1404
92	199	-24	1218	-856	-173	241	-1301
340	196	-144	1109	-599	-113	209	-1143
538	173	-247	988	-362	-46	181	-1009
710	140	-334	878	-179	27	146	-859
815	97	-385	777	-23	97	116	-723
852	54	-431	679	97	153	89	-600
862	23	-452	590	197	198	67	-492
862	-8	-483	513	271	220	37	-399
855	-40	-564	439	322	228	4	-314
855	-64	-633	366	365	231	-23	-236
851	-84	-682	299	392	229	-53	-170
840	-101	-689	236	414	220	-75	-113
825	-104	-670	175	423	213	-93	-60
815	-107	-670	125	428	209	-108	-14
790	-109	-667	77	427	195	-119	25
755	-109	-645	33	416	184	-125	61
711	-111	-628	-8	407	177	-129	93
668	-112	-611	-44	395	169	-130	117
