-492	172	-271	-4	-806	-204	214	106
-323	137	-356	-36	-746	-177	189	164
-117	110	-458	-55	-176	-52	124	47
31	37	-382	25	-254	-48	136	111
-3	87	-505	-120	-732	-101	128	165
277	65	-719	-188	52	36	46	20
561	11	-807	-255	49	30	38	86
724	54	-1077	-458	-90	22	-9	133
1132	-8	-1272	-525	1800	224	-133	-15
1538	-96	-1272	-574	1571	189	-121	126
1557	-14	-1473	-764	1749	244	-214	-26
2093	-222	-1297	-572	4000	691	-412	-490
2336	-364	-867	-436	4000	542	-320	-301
1897	-219	-776	-498	2907	433	-294	-288
1869	-224	-711	-477	2803	404	-277	-240
1808	-195	-661	-475	2776	461	-328	-402
1885	-287	-372	-320	3167	444	-290	-353
1507	-150	-408	-444	1317	232	-222	-248
1515	-165	-391	-363	2907	433	-304	-496
1547	-213	-207	-316	1918	288	-216	-295
1287	-114	-263	-349	1930	315	-253	-359
1362	-183	-103	-259	2125	301	-212	-254
1115	-89	-146	-319	847	189	-179	-200
1097	-97	-151	-279	1779	262	-211	-283
1094	-107	-84	-267	1515	230	-188	-236
994	-91	-59	-243	1531	249	-184	-240
951	-84	-15	-234	1315	204	-154	-146
822	-32	-82	-267	557	113	-119	10
725	20	-217	-320	701	107	-126	47
840	-14	-232	-305	1303	166	-151	31
863	-32	-198	-296	1401	177	-151	20
900	-57	-125	-261	1438	224	-163	-54
863	-65	-44	-233	1196	160	-132	-54
725	-18	-64	-249	1010	119	-108	-80
660	7	-104	-263	381	58	-72	-17
568	52	-198	-302	298	56	-87	-40
670	-1	-144	-253	1093	154	-123	-89
721	-39	-44	-216	996	166	-122	-83
684	-58	63	-163	863	224	-142	-193
668	-95	228	-95	843	232	-125	-210
538	-75	316	-63	530	185	-93	-152
390	-44	345	-51	-74	85	-33	15
145	66	169	-131	-938	-73	25	163
41	117	11	-157	-468	-34	1	101
138	75	9	-145	-97	-19	-2	75
160	51	45	-102	338	91	-48	-130
322	-53	240	-14	670	143	-47	-140
199	-19	268	-5	335	111	-41	-193
253	-111	522	133	806	274	-82	-322
187	-117	643	145	-101	50	29	-84
-179	27	498	107	-184	47	18	-210
-56	-72	687	225	625	189	-12	-354
-92	-116	917	329	504	204	-10	-417
-225	-134	1117	410	-77	134	34	-311
-544	-27	1053	384	-1333	-35	98	-169
-748	59	891	329	-2265	-159	150	32
-996	237	454	133	-3834	-499	278	471
-1263	457	-116	-67	-3197	-516	243	400
-815	275	-120	22	-97	-76	80	-5
-356	114	-76	2	-424	-436	438	760
-1597	1168	-1297	-875	-3539	-1865	1475	1858
-2464	2039	-1423	-1096	-370	35	498	-1400
1669	-765	2090	728	1901	3036	-1266	-3016
2014	-1792	2681	901	1137	1669	-183	-1634
465	-187	1582	419	212	1148	-340	-1888
1164	-958	2160	847	-937	1250	-367	-1316
-10	-196	1090	374	-2108	153	23	-686
-81	-293	1210	575	-1723	562	-280	-675
-353	-54	351	145	-3754	-682	299	751
-1420	607	-594	-195	-3054	-776	76	686
-903	347	-825	-175	213	-533	75	389
-323	88	-416	107	2553	201	-247	-390
393	-310	-121	187	1459	-81	-85	132
-302	70	-398	73	1577	-113	-113	-81
108	-188	-158	159	416	-196	-53	391
-517	210	-711	-87	-20	-436	8	308
-62	-107	-198	207	2048	99	-163	47
-108	-70	-275	91	863	-301	34	422
-311	-2	-152	191	1719	49	-125	6
-86	-171	71	253	1352	-76	12	200
-394	-41	149	295	1222	40	-47	-36
-286	-162	345	337	302	-122	79	243
-730	91	109	222	-1003	-280	94	237
-631	18	127	244	-1071	-261	108	295
-815	147	-40	166	-1137	-341	128	264
-702	74	35	207	-1229	-267	107	259
-811	160	-111	119	-1375	-377	154	295
-713	87	68	229	-394	-127	73	69
-630	17	187	240	-876	-266	160	269
-840	147	54	165	-1723	-289	144	236
-771	111	50	162	-1422	-277	181	239
-811	144	18	155	-1365	-239	172	164
-713	87	45	175	-1269	-211	189	178
-779	145	-44	132	-1617	-266	203	198
-749	142	-112	112	-1723	-237	189	197
-735	167	-188	70	-1723	-283	195	267
-691	183	-254	27	-1916	-273	167	279
-614	193	-324	-15	-1495	-263	153	253
-487	152	-307	6	-913	-151	112	127
-372	105	-252	8	-832	-171	157	174
-470	189	-398	-89	-1642	-270	180	230
-461	209	-552	-133	-938	-178	143	106
-304	105	-424	-59	219	-40	96	-46
-222	32	-297	-23	245	-16	98	-87
-261	40	-242	-24	109	-24	101	-94
-278	50	-222	-44	-305	-55	102	-109
-273	67	-224	-59	-239	-61	116	-145
-233	73	-219	-86	-612	-96	123	-131
-209	112	-281	-123	-375	-68	107	-169
-61	45	-127	-68	263	13	82	-152
-69	65	-155	-120	-551	-104	108	-11
-116	120	-340	-151	-192	-45	69	-17
15	39	-357	-103	426	30	44	-1
24	7	-311	-60	787	98	51	-26
32	-32	-190	-45	301	31	92	87
-136	71	-334	-137	-310	-36	89	110
-23	-23	-190	-39	929	128	52	100
-7	-11	-198	-106	-474	-82	107	331
-110	99	-324	-169	-262	-41	86	352
89	21	-181	-137	92	-24	99	491
117	84	-210	-216	-443	-109	105	664
