-152	-166	382	-308	839	-481	553	-3830
1136	-142	-102	-255	579	1199	793	-3671
762	40	-424	-146	142	2515	311	-3608
-807	422	-690	-68	-502	2316	-806	-3317
-1784	508	-932	-112	-624	-157	-1686	-3060
-1707	239	-1195	-113	-1186	-2670	-2646	-3474
-1406	288	-1113	-210	-1280	-4000	-3203	-4000
-618	145	-914	-295	-1077	-4000	-3206	-4000
-183	-49	-803	-374	217	-3789	-2987	-4000
-223	-111	-699	-433	1429	-3238	-2426	-4000
-804	-243	-639	-433	1316	-2559	-2166	-3210
-954	-265	-624	-484	1602	-2045	-1396	-2344
-978	-360	-293	-579	1055	-1082	-595	-1795
-278	-267	104	-660	53	123	-167	-1302
1661	-153	386	-616	-973	1181	112	-1286
2158	-45	693	-572	-1426	1234	143	-1904
1673	-52	909	-401	-1182	594	149	-2458
1242	-64	1005	-193	-1100	394	-220	-3248
1397	-16	987	-210	-182	266	-703	-3870
2089	66	832	-228	531	211	-1083	-3301
1462	197	549	-185	644	354	-997	-1978
920	143	480	-34	471	402	-420	-411
1637	152	410	134	488	681	-128	75
672	172	211	180	1279	839	-151	107
-515	188	21	144	1316	929	-276	-258
-490	222	4	99	1234	1246	-226	-1286
-1019	213	1	63	1055	1079	-134	-826
-1377	264	-639	99	341	736	-71	-191
-1691	269	-1106	110	-708	770	11	158
-2175	233	-677	187	-903	931	58	638
-2761	247	-157	341	-3	1157	92	1228
-2851	282	288	356	1120	1234	132	2249
-1548	404	507	303	1470	839	270	2675
-91	459	402	203	709	606	477	2205
648	528	297	239	330	562	693	1724
1040	576	-98	327	-30	-19	821	3202
257	542	-776	272	-421	-220	954	4000
-740	607	-900	199	-681	-641	1105	4000
-651	542	-112	228	-1149	-1009	1133	4000
648	436	344	246	-1605	-1446	1121	4000
2588	363	612	138	-738	-1916	1121	4000
2353	322	856	134	562	-1590	1169	4000
1897	345	809	199	774	-1383	1158	4000
2483	290	778	280	888	-1005	1140	4000
1397	294	651	453	800	-662	1098	4000
116	689	595	581	226	-344	1076	4000
64	1034	361	671	-143	26	997	3690
34	726	207	567	-360	297	953	3416
-518	542	142	345	-841	548	1007	3220
-1110	385	77	93	-1333	679	1035	2502
-1663	-30	-18	-158	-1534	880	1019	1228
-1573	-166	-76	-326	-1164	839	1011	171
-714	-304	-47	-455	-135	801	1035	-81
292	-286	-188	-311	723	723	997	-5
1319	-292	-284	-139	1017	752	905	127
-154	-371	-336	-87	644	864	840	290
-2175	-460	-393	85	399	793	840	-431
-2004	-551	-346	309	709	746	816	-1510
-3048	-568	-314	381	766	618	706	-1759
-4000	-613	-543	435	751	462	602	-1904
-4000	-553	-615	630	106	315	462	-2722
-4000	-488	-393	663	-1711	183	300	-3590
3517	-379	-209	694	-2697	-26	78	-4000
4000	-314	-95	753	-1280	-309	-137	-4000
3741	-295	30	830	-113	-362	-283	-4000
2406	-286	198	771	395	58	-410	-4000
1266	-346	237	502	1213	496	-529	-3740
-574	-375	234	327	642	795	-674	-1742
47	-286	280	228	-548	1344	-819	-378
2178	-164	228	-179	-1209	1474	-997	-539
4000	-158	105	-649	-750	1067	-1074	-1929
2874	-154	105	-719	-78	407	-1083	-4000
473	-118	118	-473	558	-285	-1100	-4000
-53	-178	93	-195	1474	-786	-1128	-4000
-1242	-137	48	-75	1380	-1183	-1258	-4000
-1955	183	57	74	746	-1473	-1372	-4000
-2973	489	67	174	85	-1831	-1396	-4000
-3811	227	-41	199	-258	-1884	-1409	-4000
-3398	-64	-113	264	-192	-1703	-1423	-4000
-675	-178	-180	252	31	-1444	-1332	-4000
3501	-295	-183	239	341	-1009	-1252	-4000
4000	-214	-254	192	326	-623	-1212	-3276
3383	-239	-293	199	259	-85	-1181	-734
3313	-156	-154	204	126	367	-1118	1488
2345	-106	-36	129	201	470	-1096	3926
504	-102	-78	1	425	551	-1049	4000
-470	-151	-173	-115	329	644	-945	4000
-1768	-253	-139	-76	65	616	-870	4000
-2094	-253	-68	-163	-194	579	-737	4000
-2584	-150	20	-206	81	563	-663	4000
-1886	-71	102	-89	286	534	-550	4000
-379	-117	164	-104	346	438	-482	4000
1136	-95	154	-77	662	353	-506	4000
1592	-94	-222	-115	624	380	-549	4000
1033	-40	-649	-141	277	431	-570	4000
806	-73	-589	-28	-22	466	-617	4000
831	-29	-365	-11	-281	616	-680	4000
1347	155	-338	-55	-846	757	-684	4000
-118	138	-380	-39	-1166	667	-684	4000
-1560	89	-239	-6	-1101	669	-684	4000
-2542	41	394	31	-635	965	-680	4000
-3569	-53	1110	6	299	860	-634	4000
-3634	-28	1334	-52	723	407	-554	4000
-3591	-23	1269	-38	509	156	-445	4000
-2642	-32	1238	-104	665	-77	-321	4000
-1457	28	1203	-255	1070	-101	-190	4000
-706	-5	1049	-322	839	-134	-54	4000
-580	-29	931	-191	336	-250	20	4000
387	-26	740	-87	-328	-289	28	4000
937	-36	455	-149	-807	-394	-8	4000
-502	56	128	-305	-624	-371	-4	4000
-1638	46	-476	-527	131	47	61	3354
-3432	14	-810	-649	627	431	120	1358
-4000	41	-636	-568	460	691	172	-406
-1542	-20	-499	-485	147	579	209	-1680
4000	-43	-436	-433	-6	-256	254	-2946
4000	-28	-470	-332	-95	-472	343	-3663
4000	34	-450	-282	37	-476	414	-3870
4000	86	-339	-279	277	-515	510	-3405
2028	172	-700	-277	119	-280	615	-2849
672	196	-743	-225	140	-434	628	-3480
-655	163	-440	-197	203	-680	693	-3712
-850	118	-228	-194	283	-724	816	-2722
-982	26	61	-141	344	-340	930	-2255
-828	99	-87	-119	-20	22	970	-2499
-244	172	-75	-136	-229	319	995	-2588
78	217	336	-165	-264	408	1035	-3223
515	240	632	-154	-291	396	1121	-3935
-24	180	569	-77	-411	413	1170	-4000
-1030	116	142	15	-418	413	1182	-4000
-1866	75	-328	59	-335	506	1235	-3840
-1756	114	-232	7	-103	520	1280	-3840
-1377	109	253	-55	79	457	1280	-3669
-874	75	344	-38	-61	119	1235	-2915
-342	183	437	-10	-48	-442	1208	-2492
-157	595	443	-5	-168	-1034	1202	-2047
676	746	326	-33	-356	-1227	1170	-1236
1592	334	217	-39	-742	-749	1170	-753
1229	306	125	-21	-790	17	1084	-565
642	239	92	-84	-116	606	942	-494
-83	210	-44	-247	299	616	758	-557
-1300	317	-247	-265	339	278	563	-348
-1442	186	-550	-141	104	48	380	-24
-1328	197	-740	-120	-108	-70	256	99
-1036	150	-1113	-198	-221	-118	110	-6
-518	140	-1764	-141	-47	-226	-42	14
-123	16	-3391	-109	442	-261	-190	64
572	-84	-4000	-153	528	-81	-371	105
937	-207	-3762	-136	302	-3	-436	296
892	-440	-2574	55	224	-284	-501	322
452	-497	-1479	303	310	-745	-512	186
-60	-497	1005	292	362	-940	-468	64
-379	-519	2091	249	196	-1123	-517	-27
-485	-521	3444	174	76	-1303	-531	-26
-445	-557	3966	-2	58	-1005	-506	43
-443	-521	3401	-97	72	-394	-457	7
-431	-336	3155	-169	13	-52	-398	221
-433	-289	3047	-169	-67	81	-363	13
-450	-292	2852	15	30	261	-340	-406
-443	-314	2131	179	29	327	-353	-417
-428	-318	1770	122	-220	441	-346	-687
-302	-256	1068	105	-464	510	-322	-710
-207	-165	215	150	-178	596	-277	-720
-207	-65	-1106	91	249	680	-266	-778
-212	-231	-1469	0	479	693	-260	-630
-232	-361	-1127	-76	662	628	-250	-496
-266	-301	-1882	-75	505	628	-233	218
-311	-310	-2968	54	86	770	-163	1061
-280	-267	-3893	199	-223	799	-109	786
-588	-276	-3132	305	-272	774	-97	221
-1221	-236	-2834	317	-539	758	-84	963
-1377	-151	-4000	227	-1097	938	-44	1572
-1110	-129	-2259	154	-967	1070	-50	401
-877	-55	2246	46	-33	965	-65	-483
-1457	-6	3182	-33	705	757	-64	-221
-2391	-11	3690	31	770	538	-54	-230
-1854	-22	3519	90	-132	396	-33	235
-588	22	3361	193	-1296	217	-49	699
627	33	3361	225	-1101	209	-11	422
2178	65	2616	99	122	197	-3	426
3664	30	2001	-30	1169	134	8	963
3964	4	1068	-166	1539	-8	14	1403
3004	37	480	-193	953	-156	-3	1814
1750	20	-589	-292	412	-219	1	1834
1441	-1	-938	-367	375	-228	-19	1207
1246	-63	-901	-152	123	-224	-37	449
80	-111	-1079	-110	-242	-262	-32	-448
-1039	-160	-1341	-137	-746	-238	-10	-1216
-1027	-191	-1471	-124	-559	-266	17	-1892
-479	-179	-1142	-61	379	-222	48	-2368
-258	-163	-932	6	479	-193	54	-2653
629	-179	-803	-83	58	-297	73	-2881
782	-105	-801	-115	-433	-293	95	-3134
64	26	-759	-98	-806	-226	111	-3390
-1133	13	-627	50	-418	-315	135	-3439
-2175	40	-672	81	-72	-403	150	-3664
-1833	128	-719	24	274	-421	154	-3474
-296	167	-711	-4	444	-468	164	-3187
635	298	-702	-69	281	-517	154	-2869
-746	841	-515	-32	283	-617	127	-2067
-3494	1193	-430	-94	82	-621	133	-1364
-4000	866	-419	-111	180	-606	116	-687
-4000	737	-349	-111	241	-554	89	-117
-3594	642	-342	-188	114	-485	54	394
1242	442	-290	-103	7	-340	40	959
4000	422	-183	-57	-295	-332	10	1686
4000	290	-143	-90	61	-344	-23	2433
4000	263	-44	-75	619	-182	-14	3155
4000	130	40	-70	442	-280	-6	3926
3753	-12	24	-69	-312	-248	12	4000
1738	-166	-179	-57	-502	-198	20	4000
1085	-202	-672	13	-447	-112	45	4000
831	-169	-836	128	-604	-16	35	4000
220	-240	-835	180	-465	38	22	4000
-1006	-249	-845	105	-249	132	31	4000
-1919	-261	-776	47	147	193	34	4000
-2680	-176	-711	107	723	303	33	4000
-2407	-164	394	191	886	218	32	3226
-1859	-179	1440	174	800	234	74	2314
-1214	-141	1900	77	456	254	116	1488
-718	-134	2278	-44	-395	366	138	788
-138	-154	2067	-45	192	498	149	172
452	-151	1677	-15	904	449	153	-326
277	-122	1249	-97	757	506	139	-808
-79	-112	1114	-46	774	506	150	-1131
-479	-132	614	-14	281	402	158	-1469
-614	-114	242	42	39	337	154	-1892
-974	-26	-21	180	7	380	193	-2296
-1092	0	-416	223	-217	355	223	-2588
-1044	0	-349	271	-240	402	291	-2759
-1117	-26	-290	185	-5	603	342	-2862
-982	-25	-413	-9	245	757	360	-2868
-1019	-5	-589	-64	318	820	380	-2824
-1017	-1	-537	121	366	864	394	-2771
-1312	11	-446	231	-221	928	345	-2722
-1524	-3	-422	85	-1296	888	309	-2631
-1245	14	-383	-49	-2114	752	275	-2621
-811	33	-393	-157	-3366	597	192	-2495
-306	-11	-380	-162	-2977	606	141	-2368
245	-70	-324	-137	-49	660	93	-2409
712	-114	-164	-59	1602	534	63	-2474
895	-122	-48	59	1405	375	-16	-2438
768	-125	42	104	940	455	-20	-2234
366	-169	158	240	367	606	27	-2185
33	-194	172	256	38	433	193	-2173
-10	-166	95	134	-98	262	414	-2030
161	-134	35	-7	-55	506	267	-1977
210	-109	-18	-183	594	709	-351	-1793
194	3	-105	-271	1083	823	-684	-1611
342	115	-131	-375	823	734	-210	-1516
330	60	-169	-388	505	65	-51	-1221
346	323	-76	-193	255	-727	-48	-696
342	685	79	-32	14	-1446	-156	326
312	477	92	68	-267	-1945	-558	1488
269	363	150	107	-502	-2253	-606	2705
227	341	230	141	-313	-2490	-1006	4000
203	189	183	149	-181	-2579	-843	4000
